
Group,Class,Sub-Class,Description,
,,239101,"Manufacture of refractory mortars, concretes and similar materials",
,,239102,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods",
,,239103,"Manufacture of refractory ceramic goods such as heat-insulating ceramic goods of siliceous fossil meals, retorts, crucibles, muffles, nozzles, tubes, pipes and similar items",
,,239199,Manufacture of other refractory articles n.e.c.,
,2392,,Manufacture of clay building materials,
,,,"This class excludes:
- manufacture of non-refractory ceramic sanitary wares like sinks, baths, toilet pans, flushing cisterns and similar items, see 2393",
,,239201,Manufacture of bricks,
,,239202,"Manufacture of ceramic pipes, conduits, guttering and pipe fittings",
,,239299,Manufacture of other clay building materials n.e.c.,
,2393,,Manufacture of other porcelain and ceramic products,
,,,"This class includes the manufacture of ceramic household, ornamental and technical products such as insulators, magnets, laboratory and industrial items, pots, jars, furniture, and other similar ceramic products, and the manufacture of non-refractory ceramic sanitary wares like sinks, baths, toilet pans, flushing cisterns and similar items. 

This class excludes: 
- manufacture of artificial stone (e.g. cultured marble), see 2220 
- manufacture of refractory ceramic goods, see 2391 
- manufacture of ceramic building materials, see 2392 
- manufacture of permanent metallic magnets, see 2599 
- manufacture of imitation jewellery, see 3212 
- manufacture of ceramic toys, see 3240 
- manufacture of artificial teeth, see 3250",
,,239301,"Manufacture of articles of porcelain or china, earthenware, imitation porcelain or common pottery, including earthen statues",
,,239302,"Manufacture of ceramic tableware, kitchenware and other domestic articles excluding ceramic toilet sanitary wares",
,,239303,Manufacture of statuettes and other ornamental ceramic articles,
,,239304,Manufacture of electrical insulators and insulating fittings of ceramics,
,,239305,"Manufacture of ceramic laboratory, chemical and industrial products",
,,239306,"Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water closet (WC)/ toilet pans, flushing cistern and similar items.",
,,239399,Manufacture of ceramic products n.e.c.,
,2394,,"Manufacture of cement, lime and plaster",
,,239401,"Manufacture of clinkers and hydraulic cements, including Portland, aluminous cement, slag cement and superphosphate cements",
,,239402,Manufacture of asbestos cement,
,,239403,"Manufacture of quicklime, slaked lime and hydraulic lime (excluding chewing lime)",
,,239404,Manufacture of plasters of calcined gypsum or calcined sulphate,
,,239499,Manufacture of other cement and plaster n.e.c.,
,2395,,"Manufacture of articles of concrete, cement and plaster",
,,,"This class excludes: 
- manufacture of refractory mortars, see 2391",
,,239501,"Manufacture of precast concrete, cement or artificial stone articles for use in construction such as tiles, flagstones, bricks, boards, sheets, panels, pipes, posts similar products",
,,239502,"Manufacture of prefabricated structural components for buildings or civil engineering of cement, concrete or artificial stone excluding RCC bricks and blocks.",
,,239503,"Manufacture of plaster articles for use in construction such as boards, sheets, panels and similar articles",
,,239504,"Manufacture of building materials of vegetable substances (wood wool, straw, reeds, rushes) agglomerated with cement, plaster or other mineral binder including insulation boards.",
,,239505,Manufacture of asbestos sheets,
,,239506,Manufacture of R.C.C. bricks and blocks,
,,239507,"Manufacture of Coir-Reinforced Concrete (CFRC), Light weight cement boards Coco coir Bricks/Blocks",
,,239508,"Manufacture of bricks, blocks, tiles and similar products of fly ash",
,,239599,Manufacture of other cement and asbestos cement products n.e.c. including Ready-Mix Concrete (RMC),
,2396,,"Cutting, shaping and finishing of stone",
,,,"This class excludes: 
- activities carried out by operators of quarries, e.g. production of rough cut stone, see 0810 
- production of millstones, abrasive stones and similar products, see 239",
,,239601,"Crushing and breaking of stone for use as a flux or raw material in lime or cement manufacture or as building material, road metal or ballast and other materials not at quarry head",
,,239699,"Other Cutting, shaping and finishing of stone n.e.c.",
,2399,,Manufacture of other non-metallic mineral products n.e.c.,
,,,"This class includes:
-manufacture of carbon fibres and articles of carbon fibres, for non-electrical purposes, see 2399

This class excludes: 
- manufacture of glass wool and non-woven glass wool products, see 2310 
- manufacture of carbon or graphite gaskets, see 2819",
,,239901,"Manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material",
,,239902,"Manufacture of mineral insulating materials such as slag wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays and similar heat insulating, sound-insulating or sound-absorbing materials",
,,239903,"Manufacture of articles of diverse mineral substances such as worked mica and articles of mica, of peat, of graphite (other than electrical articles) and similar substances",
,,239904,Manufacture of friction material and unmounted articles thereof with a base of mineral substances or of cellulose,
,,239905,"Manufacture of clay, synthetic clay",
,,239999,Manufacture of other non-metallic mineral products n.e.c.,
,DIVISION 24 : Manufacture of basic metals,,,
241,,,Manufacture of basic iron and steel,
,2410,,Manufacture of basic iron and steel ,
,,,"This class excludes: 
- manufacture of tubes, pipes and hollow profiles of tube or pipe fittings of cast-iron, see 2431 
- manufacture of seamless tubes and pipes of steel by centrifugal casting, see 2431 
- manufacture of tube or pipe fittings of cast-steel, see 2431",
,,241001,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary forms",
,,241002,Manufacture of direct reduction of iron (sponge iron) and other spongy ferrous products,
,,241003,"Manufacture of steel in ingots or other primary forms, and other semi-finished products of steel",
,,241004,Manufacture of ferro-alloys,
,,241005,Manufacture of hot-rolled products of steel,
,,241006,Manufacture of cold-rolled products of steel,
,,241007,Manufacture of tube and tube fittings of basic iron and steel,
,,241008,Manufacture of wire of steel by cold drawing or stretching,
,,241099,Manufacture of other basic iron and steel n.e.c.including manufacture of railway track material (unassembled rails) of steel,
242,,,Manufacture of basic precious and other non-ferrous metals,
,2420,,Manufacture of basic precious and other non-ferrous metals,
,,,"This class excludes: 
- casting of non-ferrous metals, see 2432 
- manufacture of precious metal jewellery, see 3211",
,,242001,Manufacture of Copper from ore,
,,242002,Manufacture of copper products and alloys,
,,242003,Manufacture of Alumina from Bauxite,
,,242004,Manufacture of Aluminium from alumina. ,
,,242005,Manufacture of aluminium products and alloys,
,,242006,"Manufacturing of lead, zinc and tin, their products and alloys",
,,242007,"Manufacturing of chrome, manganese and nickel products and alloys",
,,242008,"Production and refining of precious metals (such as gold, silver platinum etc.) and alloys",
,,242099,Other manufacture of basic precious and other non-ferrous metals n.e.c.,
243,,,Casting of metals,
,2431,,Casting of iron and steel,
,,,"This class includes the casting of iron and steel, i.e. the activities of iron and steel foundries",
,,243101,"Manufacture of tubes, pipes, and hollow profiles and their fittings of cast-iron",
,,243102,"Manufacture of tubes, pipes, and hollow profiles and their fittings of cast-steel",
,,243103,Casting of semi-finished and finished steel castings excluding hollow profiles,
,,243104,Manufacture of seamless tubes and pipes of steel,
,,243105,Cast iron castings,
,,243199,Other casting of iron n.e.c.,
,2432,,Casting of non-ferrous metals,
,,243201,Casting of copper,
,,243202,Casting of Aluminium,
,,243299,Casting of other non-ferrous metals n.e.c.,
,"DIVISION 25 : Manufacture of fabricated metal products, except machinery and equipment",,,
251,,,"Manufacture of structural metal products, tanks, reservoirs and steam generators",
,2511,,Manufacture of structural metal products,
,,,"This class excludes: 
- manufacture of parts for marine or power boilers, see 2513 
- manufacture of assembled railway track fixtures, see 2599 
- manufacture of sections of ships, see 3011",
,,251101,"Manufacture of metal doors, windows and their frames, shutters and rolling shutters, gates and similar articles used in buildings",
,,251102,"Manufacture of metal frameworks or skeletons for construction and parts thereof (towers, masts, trusses, bridges and similar items)",
,,251103,"Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment and similar items)",
,,251199,"Manufacture of tanks, reservoirs and containers of metal n.e.c.",
,2512,,"Manufacture of tanks, reservoirs and containers of metal",
,,,"This class excludes: 
- manufacture of metal casks, drums, cans, pails, boxes etc. of a kind normally used for carrying and packing of goods, of a capacity not exceeding 300 litres, see 2599, 2599 
- manufacture of transport containers, see 2920 
- manufacture of tanks (armoured military vehicles), see 3040",
,,251201,Manufacture of metal containers for compressed or liquefied gas,
,,251202,"Manufacture of reservoirs, tanks, vats and similar containers of metal, whether or not lined or heat-insulated",
,,251203,Manufacture of central heating boilers and radiators and parts and accessories thereof,
,,251299,"Other manufacture of tanks, reservoirs and containers of metal n.e.c.",
,2513,,"Manufacture of steam generators, except central heating hot water boilers",
,,,"This class excludes: 
- manufacture of electrical ovens and water heaters, see 2750 
- manufacture of boiler-turbine sets, see 2811 
- manufacture of household heating equipment, see 2815 
- manufacture of isotope separators, see 2829",
,,251301,Manufacture of steam or other vapour generating boilers and hot water boilers other than central heating boilers,
,,251302,"Manufacture of nuclear reactors, except isotope separators",
,,251303,"Manufacture of auxiliary plant for use with steam generators (condensers, economizers, superheaters, steam collectors and accumulators)",
,,251399,"Manufacture of other steam generators/boilers (except central heating hot water boilers), n.e.c.",
252,,,Manufacture of weapons and ammunition,
,2520,,Manufacture of weapons and ammunition,
,,,"This class includes:
- manufacture of parts of weapons and ammunition

This class excludes: 
- manufacture of percussion caps, detonators or signalling flares, see 2029 
- manufacture of optical gun sighting equipment, see 2670 
- manufacture of cutlasses, swords, bayonets etc., see 2593 
- manufacture of armoured vehicles for the transport of banknotes or valuables, see 2910 
- manufacture of military air and spacecraft, see 3030 
- manufacture of tanks and other armoured and motorised fighting vehicles, see 3040 
- building of military ships and vessels, see 3011",
,,252000,Manufacture of weapons and ammunition including their parts,
259,,,Manufacture of other fabricated metal products; metalworking service activities,
,2591,,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",
,,,"This class excludes: 
- production of metal powder, see 241, 242",
,,259101,"Forging, pressing, stamping and roll-forming of metal",
,,259102,Powder metallurgy,
,2592,,Treatment and coating of metals; machining,
,,,"This class excludes: 
- activities of farriers, see 0162 
- rolling precious metals onto base metals or other metals, see 2420",
,,259201,"Plating, anodizing, galvanizing etc. of metals",
,,259202,"Treatment of metals like heating, deburring, sandblasting, tumbling, cleaning of metals, hardening, buffing of metals and similar activities",
,,259203,"Non-metallic coating of metals: plasticizing, enameling, lacquering, colouring and engraving of metals and similar activities",
,,259299,Treatment and coating of metals; machining n.e.c.,
,2593,,"Manufacture of cutlery, hand tools and general hardware",
,,,"This class excludes: 
- manufacture of hollowware (pots, kettles etc.), dinnerware (bowls, platters etc.) or flatware (plates, saucers etc.), see 2599 
- manufacture of power-driven hand tools, see 2818 
- manufacture of ingot moulds, see 2823 
- manufacture of cutlery of precious metal, see 3211",
,,259301,"Manufacture of cutlery and other kitchenware and household articles such as knives, forks, spoons, and similar items",
,,259302,Manufacture of hand tools (non-power-driven) for agricultural/ horticulture/ forestry,
,,259303,"Manufacture of hand tools such as pliers, screwdrivers, press tools, blacksmiths’ tools, hammers, drills, punches, milling cutters and similar items.",
,,259304,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for buildings, furniture, vehicles and similar items",
,,259399,"Manufacture of other general hardware n.e.c. (saws and sawblades, including circular sawblades and chainsaw blades, moulding boxes, vices, clamps and similar items)",
,2599,,Manufacture of other fabricated metal products n.e.c.,
,,,"This class excludes: 
- manufacture of ceramic and ferrite magnets, see 2393 
- manufacture of tanks and reservoirs, see 2512 
- manufacture of swords, bayonets, see 2593 
- manufacture of clock or watch springs, see 2652 
- manufacture of wire and cable for electricity transmission, see 2732 
- manufacture of power transmission chain, see 2814 
- manufacture of shopping carts, see 3099 
- manufacture of metal furniture, see 3100 
- manufacture of sports goods, see 3230 
- manufacture of games and toys, see 3240",
,,259901,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers and similar non-threaded products and nuts, bolts, screws and other threaded products)",
,,259902,Manufacture of containers such as tins and cans for food products and boxes,
,,259903,"Manufacture of metal cable and other articles made of wire (except for electric transmission) including barbed wire, wire fencing, grill, netting, wire mesh and similar articles",
,,259904,"Manufacture of metal household articles (plates, saucers, pots, kettles, saucepans, frying pans, pressure cooker and other non-electrical utensils, small hand-operated kitchen appliances and accessories)",
,,259905,"Manufacture of metal sanitary ware such as baths, sinks, washbasins and similar articles",
,,259906,"Manufacture of reinforced safes, vaults, strong room doors, gates and metal goods for office use (other than office furniture) and other purposes",
,,259907,"Manufacture of metal sculptures, decorative items, and other artisanal products",
,,259999,Manufacture of other fabricated metal products n.e.c.,
,"DIVISION 26 : Manufacture of computer, electronic and optical products",,,
261,,,Manufacture of electronic components and boards,
,2611,,"Manufacture of solar cells, solar panels and photovoltaic inverters",
,,,"This class excludes: 
- manufacture of solar lights, see 2740 
- manufacture of solar heating systems, see 2815 
- installation of solar heating systems, see 4321 
",
,,261101,Manufacture of solar cells ,
,,261102,Manufacture of solar panels ,
,,261103,Manufacture of photovoltaic/solar inverters,
,2619,,Manufacture of other electronic components and boards,
,,261901,"Manufacture of electronic capacitors, resistors, chokes, coils, transformers (electronic) and similar components",
,,261902,"Manufacture of electron tubes, diodes, transistors and related discrete devices",
,,261903,"Manufacture of integrated circuits (analog, digital or hybrid), including Application Specific IC (ASIC)",
,,261904,"Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems)",
,,261905,"Manufacture of display components (plasma, polymer, LCD, LED)",
,,261906,"Manufacture of wafers, semiconductors and fabricated components such as microprocessors, microcontrollers, system-on-chip (SoC) devices, FPGA, Memories, RFIC, MMIC",
,,261907,Manufacture of Space Grade  electronic components,
,,261908,"Manufacture of printer cables, monitor cables, USB cables with connectors",
,,261999,"Manufacture of other electronic components n.e.c, including Manufacture of inductors; Manufacture of electronic crystals and crystal assemblies; Manufacture of solenids, switches and transducers for electronic applications",
262,,,Manufacture of computers and peripheral equipment,
,2620,,Manufacture of computers and peripheral equipment,
,,,"This class excludes: 
- reproduction of recorded media (computer media, sound, video, etc.), see 1820 
- manufacture of electronic components and electronic assemblies used in computers and peripherals, see 2610 
- manufacture of interface cards, modules and assemblies, see 2619 
- manufacture of printed circuit boards loaded with passive elements, see 2619 
- manufacture of modems, carrier equipment, see 264 
- manufacture of digital communication switches, data communications equipment (e.g. bridges, routers, gateways), see 2630 
- manufacture of consumer electronic devices, such as CD players and DVD players, see 2640 
- manufacture of television monitors and displays, see 2640 
- manufacture of video game consoles, see 2640 
- manufacture of blank optical and magnetic media for use with computers or other devices, see 268",
,,262001,"Manufacture of desktop computers, laptop computers, hand-held computers (such as PDA), mainframe computers and computer servers",
,,262002,"Manufacture of magnetic and optical storage devices such as magnetic disk drives, flash drives and other storage devices",
,,262003,"Manufacture of monitors, keyboards, mouse, joysticks, and trackball accessories, dedicated computer terminals and similar equipments",
,,262004,"Manufacture of printers, scanners, including bar code scanners, smart card readers, virtual reality helmets and headsets",
,,262005,"Manufacture of computer terminals, like automatic teller machines (ATM’s), point-of-sale (POS) terminals not mechanically operated",
,,262099,Manufacture of computers and peripheral equipment n.e.c. such as computer servers,
263,,,Manufacture of communication equipment,
,2630,,Manufacture of communication equipment,
,,,"This class includes the manufacture of telephone and data communications equipment used to move signals electronically through wired or wireless networks, such as radio and television broadcast and wireless communications equipment. 

This class excludes: 
- manufacture of electronic components and subassemblies used in communications equipment, including computer modems, see 262 
- manufacture of printed circuit boards loaded with passive elements, see 262 
- manufacture of computers and computer peripheral equipment, see 263 
- manufacture of consumer audio and video equipment, see 265 
- manufacture of burglar and fire alarm systems, sending signals to a control station, see 2652 
- manufacture of GPS devices, see 2652 
- manufacture of electronic scoreboards, see 2790 
- manufacture of traffic lights, see 2790",
,,263001,Manufacture of cellular/ mobile/ smart phones & smart watches,
,,263002,"Manufacture of telephones, including cordless telephones and facsimile equipment, telephone answering machines, PBX equipment, excluding smartphones",
,,263003,"Manufacturing of telecom networking and security equipment such as switches,routers, firewall, UTM platforms, Satellite Ground station, Gateway & VSAT  RF and Baseband equipments",
,,263004,"Manufacture of cable television equipment, transmitting and receiving antenna including DTH dish",
,,263005,"Manufacture of radio and television studio and broadcasting equipment, including television cameras",
,,263006,Manufacture of radio trans receivers (wireless communication sets),
,,263007,"Manufacture of telecom transmission equipment such as DWDM, OLT, OFC and SDH.",
,,263008,Manufacture of telecom mobile technology products including RAN equipment such as base station and antenna,
,,263009,"Manufacture of telecom Customer Premises Equipmentsuch as FWA, ONT, internet set top box, Wi-Fi access point and satellite CPEs",
,,263099,"Manufacture of other communication equipments n.e.c. such as pagers, modems, carrier equipment, devices using infrared signals (like remote controllers and game controllers),  User Terminals for Broadband Communication, Inflight and Meritime Communication equipments ",
264,,,Manufacture of consumer electronics,
,2640,,Manufacture of consumer electronics,
,,,"This class includes the manufacture of electronic audio and video equipment for home entertainment, motor vehicles, public address systems and musical instrument amplification. 

This class excludes: 
- reproduction of recorded media (computer media, sound, video, etc.), see 182 
- manufacture of computer peripheral devices and computer monitors, see 262 
- manufacture of telephone answering machines, see 263 
- manufacture of pagers, see 263 
- manufacture of remote-control devices (radio and infrared), see 263 
- manufacture of broadcast studio equipment such as reproduction equipment, transmitting and receiving antennas, commercial video cameras, see 263 
- manufacture of broadcast and studio equipment, see 263 
- manufacture of antennas, see 263 
- manufacture of digital cameras, see 267 
- manufacture of electronic games with fixed (non-replaceable) software, see 3240",
,,264001,"Manufacture of televisions, Computer Projectors and  TV projectors",
,,264002,Manufacture of electronic gaming devices such as video game consoles,
,,264003,Manufacture of audio recording and duplicating systems (including for commercial recordings),
,,264004,Manufacture of radio receivers,
,,264005,"Manufacture of stereo equipment, speaker systems, amplifiers for musical instruments and public address systems, microphones, karaoke machines and earphones/headphones",
,,264099,"Manufacture of other electronic consumer goods n.e.c. such as CD players, DVD players, home theatre audio and video equipment",
265,,,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",
,2651,,"Manufacture of measuring, testing, navigating and control equipment",
,,,"This class comprises manufacture of search, detection, navigation, guidance, aeronautical, and nautical systems and instruments; automatic controls and regulators for applications, such as heating, air- conditioning, refrigeration and appliances; instruments and devices for measuring, displaying, indicating, recording, transmitting, and controlling temperature, humidity, pressure, vacuum, combustion, flow, level, viscosity, density, acidity, concentration, and rotation; totalizing (i.e., registering) fluid meters and counting devices; instruments for measuring and testing the characteristics of electricity and electrical signals; instruments and instrumentation systems for laboratory analysis of the chemical or physical composition or concentration of samples of solid, fluid, gaseous, or composite material; other measuring and testing instruments and parts thereof. The manufacture of non-electric measuring, testing and navigating equipment (except simple mechanical tools) is included here. 

This class excludes: 
- manufacture of telephone answering machines, see 263 
- manufacture of irradiation equipment, see 267 
- manufacture of optical positioning equipment, see 268 
- manufacture of dictating machines, see 2817 
- manufacture of weighing machinery (other than sensitive laboratory balances), levels, tape measures etc., see 2819 
- manufacture of medical thermometers, see 3250 
- installation of industrial process control equipment, see 3320",
,,265101,Manufacture of physical properties testing and inspection equipment,
,,265102,Manufacture of automotive emissions testing equipment,
,,265103,"Manufacture of consumption meters for electricity, water or gas, flow meters and counting meters",
,,265104,Manufacture of meteorological and environmental instruments,
,,265105,"Manufacture of radar equipment, GNSS (NavIC), search, detection, navigation, aeronautical and nautical equipment, systems parameters measurment equipments (Equipments used during realisation and operalisation) for Space craft, Launch Vehicle & Orbital Station ",
,,265106,"Manufacture of laboratory analytical instruments and miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators and similar instruments",
,,265107,Manufacture of industrial process control equipment,
,,265199,"Manufacture of other measuring, testing, navigating and control equipment n.e.c.such as polygraph machines, radiation detection and monitoring instruments, sensors and sensing equipment ",
,2652,,Manufacture of watches and clocks,
,,,"This class excludes:
- manufacture of non-metal watch bands (textile, leather, plastic), see 1512
- manufacture of smartwatches , see 2630
- manufacture of watch bands of precious metal, see 3211
- manufacture of watch bands of non-precious metal, see 3212",
,,265201,"Manufacture of watches and clocks of all kinds, including instrument panel clocks (excluding smart watches)",
,,265202,"Manufacture of components for clocks and watches (springs, jewels, dials, hands, plates, bridges and other parts); watch and clock cases, including cases of precious metals",
,,265203,"Manufacture of time-recording equipments such as time-clock, parking meters and similar equipments",
,,265299,Manufacture of other components for clocks and watches n.e.c.,
266,,,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",
,2660,,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",
,,,"This class excludes: 
-manufacture of tanning beds, see 2790 
",
,,266001,"Manufacture of irradiation equipment and Diagnostic Imaging Equipment (Scanners) such as alpha,beta, gamma radiations, X-ray equipments, CT scanners, PET scanners, MRI equipments, food and milk irradiation equipment and similar equipments",
,,266002,"Manufacture of electromedical and electrotherapeutic equipment such as pacemakers, hearing aids, massage apparatus, electro medical ventilators.",
267,,,Manufacture of optical instruments and photographic equipment,
,2670,,Manufacture of optical instruments and photographic equipment,
,,,"This class includes the manufacture of optical instruments and lenses, such as binoculars, microscopes (except electron, proton), telescopes, prisms and lenses (except ophthalmic); the coating or polishing of lenses (except ophthalmic); the mounting of lenses (except ophthalmic) and the manufacture of photographic equipment such as cameras and light meters and the manufacture of. 

This class excludes 
- reproduction of recorded media (computer media, sound, video, etc.), see 1820 
- manufacture of computer and TV projectors, see 263 
- manufacture of commercial TV and video cameras, see 264 
- manufacture of household-type video cameras, see 265 
- manufacture of fire alarms, see 2652 
- manufacture of complete equipment using laser components, see manufacturing class by type of machinery (e.g. medical laser equipment, see 267) 
- manufacture of photocopy machinery, see 2817 
- manufacture of ophthalmic goods, see 3250",
,,267001,Manufacture of lenses (other than opthalmic lenses) for optical devices  including video camera ,
,,267002,"Manufacture of still photographic cameras, including film and digital cameras",
,,267003,"Manufacture of optical microscopes, binoculars and telescopes, Optics for Spacecraft payload",
,,267099,"Manufacture of optical instruments and photographic equipment n.e.c. such as optical mirrors, unrecorded magnetic audio and video tapes, optical disks.",
268,,,Manufacture of magnetic and optical media,
,2680,,Manufacture of magnetic and optical media,
,,,"This class excludes: 
-reproduction of recorded media (computer media, sound, video, etc.), see 1820",
,,268000,Manufacture of magnetic and optical media,
,DIVISION 27 : Manufacture of electrical equipment,,,
271,,,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",
,2710,,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",
,,,"This class includes the manufacture of power, distribution and specialty transformers; electric motors, generators and motor generator sets; switchgear and switchboard apparatus; relays and industrial controls. The electrical equipment manufactured in this class is for distribution level voltages. 

This class excludes: 
- manufacture of electronic component-type transformers and switches, see 2619 
- manufacture of environmental controls and industrial process control instruments, see 2651 
- manufacture of switches for electrical circuits, such as pushbutton and snap switches, see 2733 
- manufacture of electric welding and soldering equipment, see 2790 
- manufacture of solid state inverters, rectifiers and converters, see 2790 
- manufacture of turbine-generator sets, see 2811 
- manufacture of starting motors and generators for internal combustion engines, see 2930",
,,271001,"Manufacture of power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator set units) and their parts ",
,,271002,"Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators and their parts ",
,,271003,Manufacture of electric motors (except internal combustion engine starting motors) and their parts ,
,,271004,Manufacture of electrolisers,
,,271099,"Manufacture of other electricity distribution and control apparatus n.e.c. such as  relays, sockets, voltage limiters, switches and fuses other than household type and similar products",
272,,,Manufacture of batteries and accumulators,
,2720,,Manufacture of batteries and accumulators,
,,,"This class includes the manufacture of non-rechargeable, rechargeable batteries and their parts

This class excludes:
- manufacture of charging stations for cars, see 2790
- installation of electric storage systems for buildings and electrical infrastructure, see 4321",
,,272001,Manufacture of primary cells and batteries,
,,272002,Manufacture of secondary cells and batteries,
,,272003,Manufacture of Battery Energy Storage Systems (BESS)/ Containerised BESS/ Battery pack,
,,272099,Manufacture of other batteries and accumulators n.e.c.,
273,,,Manufacture of wiring and wiring devices,
,2731,,Manufacture of fibre optic cables,
,,,"This class excludes: 
- manufacture of glass fibres or strand, see 2310 
- manufacture of connectors for optical fibres, optical fibre bundles and cables, see 2733 
- installation of fibre optic and other cables, see 4321",
,,273100,"Manufacture of fibre optic cable for data transmission or live transmission of images, whether or not fitted with connectors",
,2732,,Manufacture of other electronic and electric wires and cables,
,,,"This class excludes: 
- manufacture (drawing) of steel and metal wire without insulation, see 2410, 2420 
- manufacture of electrical cord sets with insulated wire and connectors, see 2790 
- manufacture of cable sets, wiring harnesses and similar cable sets or assemblies for automotive applications, see 2930",
,,273201,"Manufacture of insulated wire and cable, made of steel, copper, aluminium",
,,273202,"Manufacture of computer cables, printer cables, USB cables, not fitted with connectors",
,,273203,"Manufacturing of Cable,  Wires and Harness used in Spacecraft, Launch Vehicles and Orbiting Station ",
,,273299,Manufacture of other electronic and electric wires and cables n.e.c.,
,2733,,Manufacture of wiring devices,
,,,"""This class includes the manufacture of current-carrying and noncurrent-carrying wiring devices for electrical circuits regardless of material.

This class excludes:
- manufacture of ceramic insulators, see 2393
- manufacture of industrial switches 2619""",
,,273301,"Manufacture of switches, switch box, lamp holders, lugs and similar items",
,,273399,"Manufacture of other wiring devices and fittings n.e.c. plastic non current carrying wiring devices, electric plugs, connectors or sockets",
274,,,Manufacture of lighting equipment,
,2740,,Manufacture of lighting equipment,
,,,"This class includes the manufacture of electric light bulbs and tubes and parts and components thereof (except glass blanks for electric light bulbs), electric lighting and other fixtures and lighting fixture components (except current-carrying wiring devices). 

This class excludes: 
- manufacture of glassware and glass parts for lighting fixtures, see 2310 
- manufacture of light emitting diode, see 2610 
- manufacture of current-carrying and non-current-carrying wiring devices for lighting fixtures, see 2733 
- manufacture of ceiling fans or bath fans with integrated lighting fixtures, see 2750 
- manufacture of electrical signalling equipment, e.g. traffic lights and pedestrian signalling equipment, see 2790 
- manufacture of electrical signs, see 2790",
,,274001,Manufacture of LED lighting equipment,
,,274099,Manufacture of other electric lighting equipment n.e.c.,
275,,,Manufacture of domestic appliances,
,2750,,Manufacture of domestic appliances,
,,,"This class includes the manufacture of small electric appliances and electric housewares, household-type fans, household-type vacuum cleaners, electric household-type floor care machines, household-type cooking appliances, household-type laundry equipment, household-type refrigerators, upright and chest freezers and other electrical and non-electrical household appliances, such as dishwashers, water heaters and garbage disposal units. This class includes the manufacture of appliances with electric, gas or other fuel sources. 
This class also includes manufacture of domestic type air conditioners, coolers. 

This class excludes: 
- manufacture of household-type sewing machines, see 2826 
- installation of central vacuum cleaning systems, 4329",
,,275001,"Manufacture of domestic electric appliances such as refrigerators, freezers, dishwashers, washing and drying machines, vacuum cleaners, floor polishers, waste disposers, grinders, blenders, juice squeezers, excluding household space cooling equipments",
,,275002,"Manufacture of domestic electrothermic appliances such as electric water heaters, electric blankets, electric dryers, curlers, electric smoothing irons, portable space heaters (room heaters), portable electric ovens, microwave ovens, cookers, hotplates",
,,275003,"Manufacture of household space cooling and ventilation equipment like  air conditioners ,air coolers, electric fans including exhaust fans",
,,275004,"Manufacture of domestic non-electric cooking and heating equipments such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers",
,,275099,Manufacture of other domestic appliances n.e.c.,
279,,,Manufacture of other electrical equipment,
,2790,,Manufacture of other electrical equipment,
,,,"This class includes the manufacture of miscellaneous electrical equipment other than motors, generators and transformers, batteries and accumulators, wires and wiring devices, lighting equipment or domestic appliances. 

This class excludes: 
- manufacture of glass electrical insulators, see 2310 
- manufacture of porcelain electrical insulators, see 2393 
- manufacture of carbon and graphite fibres and products (except electrodes and electrical applications), see 2399 
- manufacture of electronic component-type rectifiers, voltage regulating integrated circuits, power converting integrated circuits, electronic capacitors, electronic resistors, and similar devices, see 2610 
- manufacture of photovoltaic cells, modules and panels, see 2611 
- manufacture of transformers, motors, generators, switchgear, relays and industrial controls, see 27 
- manufacture of batteries, see 2720 
- manufacture of communication and energy wire, current-carrying and noncurrent-carrying wiring devices, see 273 
- manufacture of lighting equipment, see 2740 
- manufacture of household-type appliances, see 275 
- manufacture of non-electrical welding and soldering equipment, see 2819 
- manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs, ignition wiring harnesses, power window and door systems, voltage regulators, see 2930 
- manufacture of inverter modules and fuel cells for motor vehicle, see 2930",
,,279001,Manufacture of battery chargers & charging stations including for cars,
,,279002,Manufacture of uninterruptible power supplies (UPS),
,,279003,"Manufacture of electrical capacitors, resistors, condensers, electrodes and similar products",
,,279099,Manufacture of other electrical equipment n.e.c.,
